filename,p_value,num_old_nodes,num_new_nodes_optimized_false,num_new_nodes_optimized_true,num_old_transitions,num_new_transitions_optimized_false,num_new_transitions_optimized_true,max_eq_classes,time_optimized_false_ms,time_optimized_true_ms
tree_bf26_rp60_sd3-20_letters26_mn3000_s42.txt,6,3000,148,148,2999,2053,2053,146,537.308,12.304
tree_bf26_rp60_sd3-20_letters26_mn3000_s42.txt,7,3000,147,147,2999,2038,2038,146,422.350,21.662
tree_bf26_rp60_sd3-20_letters26_mn3000_s42.txt,8,3000,147,147,2999,2038,2038,146,459.109,22.828
tree_bf26_rp60_sd3-20_letters26_mn3000_s42.txt,9,3000,147,147,2999,2038,2038,146,429.609,20.463
tree_bf26_rp60_sd3-20_letters26_mn3000_s42.txt,10,3000,147,147,2999,2038,2038,146,436.885,24.333
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,1,5000,510,510,4999,4326,4326,223,6703.069,8.983
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,2,5000,288,288,4999,3642,3723,223,6357.573,11.115
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,3,5000,247,247,4999,3455,3449,223,5835.149,14.610
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,4,5000,239,239,4999,3368,3362,223,5316.068,19.074
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,5,5000,234,234,4999,3326,3328,223,4901.629,23.125
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,6,5000,230,230,4999,3272,3272,223,4302.714,48.746
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,7,5000,228,228,4999,3236,3252,223,4250.402,58.923
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,8,5000,226,226,4999,3209,3209,223,3517.558,70.649
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,9,5000,225,225,4999,3194,3194,223,3485.932,81.175
tree_bf26_rp60_sd3-20_letters26_mn5000_s42.txt,10,5000,224,224,4999,3179,3179,223,3039.999,112.905
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,1,500,70,70,499,499,499,37,11.189,3.892
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,2,500,38,38,499,499,499,37,16.028,1.308
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,3,500,38,38,499,499,499,37,14.573,2.095
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,4,500,38,38,499,499,499,37,10.327,5.558
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,5,500,38,38,499,499,499,37,10.333,5.440
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,6,500,38,38,499,499,499,37,14.704,1.985
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,7,500,38,38,499,499,499,37,14.921,3.051
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,8,500,38,38,499,499,499,37,14.478,2.119
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,9,500,38,38,499,499,499,37,8.178,6.013
tree_bf26_rp60_sd3-20_letters26_mn500_s42.txt,10,500,38,38,499,499,499,37,14.512,2.780
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,1,8000,761,761,7999,6590,6590,309,139007.866,17.008
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,2,8000,436,436,7999,5607,5609,309,138307.917,21.335
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,3,8000,372,372,7999,5156,5141,309,136107.633,39.920
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,4,8000,345,345,7999,4875,4864,309,132435.525,82.094
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,5,8000,336,336,7999,4751,4726,309,128582.381,121.194
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,6,8000,331,331,7999,4671,4663,309,123441.910,158.376
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,7,8000,326,326,7999,4628,4607,309,121229.417,213.583
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,8,8000,323,323,7999,4588,4593,309,105248.547,176.332
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,9,8000,321,321,7999,4541,4538,309,103405.961,322.775
tree_bf26_rp60_sd3-20_letters26_mn8000_s42.txt,10,8000,319,319,7999,4502,4518,309,117332.666,246.372
